Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,n_present,primekg_drug,drkg_drug,biokg_drug,dkey,leaked,unresolvable,in234,in116,covered,drug_anyKG
35,Keytruda,pembrolizumab,DB09037,,2014,Neoadj+adj resectable NSCLC,MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09037|d|3908,True,False,True,False,True,True
36,Rozlytrek,entrectinib,DB11986,25141092,2019,Pediatric NTRK fusion solid tumors,MONDO:0004198,D066066,DOID:7360,FDA,Oncology,Oncology,True,True,2023,complete,2,True,True,True,DB11986|d|7360,True,False,True,False,True,True
37,Tibsovo,ivosidenib,DB14568,71657455,2018,IDH1-mutated relapsed/refractory MDS,MONDO:0018881,D009190,DOID:0050908,FDA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB14568|d|50908,False,False,True,True,True,True
38,Vabysmo,faricimab,DB15303,,2022,Retinal vein occlusion,MONDO:0006951,D012170,DOID:1727,FDA,Ophthalmology,Ophthalmology,True,True,2023,missing_PubChem,1,True,False,False,DB15303|d|1727,False,False,True,True,True,True
39,Keytruda,pembrolizumab,DB09037,,2014,1L biliary tract cancer (+gemcitabine+cisplatin),MONDO:0003060,D001661,DOID:4607,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09037|d|4607,False,False,True,True,True,True
40,Xtandi,enzalutamide,DB08899,15951529,2012,Non-metastatic castration-sensitive prostate cancer with BCR,MONDO:0008315,D011471,DOID:10283,FDA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB08899|d|10283,True,False,True,False,True,True
41,Keytruda,pembrolizumab,DB09037,,2014,1L HER2- gastric/GEJ adenocarcinoma (+chemo),MONDO:0005036,D013274,DOID:3717,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09037|d|3717,True,False,True,False,True,True
42,Welireg,belzutifan,DB15463,117947097,2021,Advanced RCC after PD-1/PD-L1 + VEGF-TKI,MONDO:0005086,D002292,DOID:4450,FDA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB15463|d|4450,False,False,True,True,True,True
43,Padcev+Keytruda,enfortumab vedotin+pembrolizumab,"DB13007,DB09037",",",2019,Advanced bladder cancer (1L+ later lines),MONDO:0004986,D001749,DOID:4007,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,0,False,False,False,"DB13007,DB09037|d|4007",False,False,True,False,False,False
44,Yescarta,axicabtagene ciloleucel,,,2017,2L+ DLBCL (expanded),MONDO:0018905,D016403,DOID:0050745,FDA,Oncology,Oncology,True,True,2023,missing_DrugBank|missing_PubChem,0,False,False,False,nan|d|50745,False,True,False,False,False,False
45,Cresemba,isavuconazonium sulfate,DB06636,72196309,2015,Pediatric invasive aspergillosis/mucormycosis,MONDO:0000240,,DOID:0050073,FDA,Infectious,Infectious,True,True,2023,missing_MeSH,1,True,True,True,DB06636|d|50073,True,False,True,False,True,True
46,Lodoco,colchicine,DB08117,6167,2009,Cardiovascular risk reduction (first anti-inflammatory CV drug),MONDO:0004995,D002318,DOID:1287,FDA,Cardiovascular,Cardiovascular,True,True,2023,complete,0,False,False,False,DB08117|d|1287,False,False,True,False,False,False
47,Akeega,niraparib+abiraterone acetate,"DB11793,DB05812","24958200,9821849",2017,BRCA-mutated mCRPC,MONDO:0008315,D011471,DOID:10283,FDA,Oncology,Oncology,True,True,2023,complete,0,False,False,False,"DB11793,DB05812|d|10283",False,False,True,False,False,False
48,Injectafer,ferric carboxymaltose,DB08917,,2013,Iron deficiency in heart failure,MONDO:0001356,D018798,DOID:11758,FDA,Cardiovascular,Cardiovascular,True,True,2023,missing_PubChem,3,True,True,True,DB08917|d|11758,True,False,True,False,True,True
49,Bylvay,odevixibat,DB16261,10153627,2021,Alagille syndrome cholestatic pruritus,MONDO:0007318,D016738,DOID:9245,FDA,GI/Metabolic,GI/Metabolic,True,True,2023,complete,0,False,False,False,DB16261|d|9245,False,False,True,False,False,False
50,Linzess,linaclotide,DB08890,16158208,2012,Functional constipation in pediatric patients 6-17,MONDO:0005052,D043183,DOID:9778,FDA,GI,GI,False,True,2023,complete,3,True,True,True,DB08890|d|9778,True,False,True,False,True,True
51,Zoryve,roflumilast,DB01656,449193,2011,Psoriasis in children 6-11 (cream),MONDO:0005083,D011565,DOID:8893,FDA,Dermatology,Immunology,False,True,2023,complete,3,True,True,True,DB01656|d|8893,False,False,True,True,True,True
52,Adbry,tralokinumab,,,2021,Atopic dermatitis pediatric 12-17,MONDO:0011596,C565293,DOID:0110098,FDA,Immunology/Dermatology,Immunology,False,True,2023,missing_DrugBank|missing_PubChem,0,False,False,False,nan|d|110098,False,True,False,False,False,False
53,Cibinqo,abrocitinib,DB14973,78323835,2021,Adolescent atopic dermatitis,MONDO:0011596,C565293,DOID:0110098,FDA,Immunology/Dermatology,Immunology,False,True,2023,complete,0,False,True,False,DB14973|d|110098,False,False,True,False,False,True
54,Leqvio,inclisiran,DB14901,,2021,High LDL-C with increased CV risk (expanded),MONDO:0005439,C566331,DOID:13810,FDA,Cardiovascular,Cardiovascular,False,True,2023,missing_PubChem,1,True,False,False,DB14901|d|13810,False,False,True,True,True,True
55,Jardiance,empagliflozin,DB09038,11949646,2014,Chronic kidney disease,MONDO:0005300,D007676,DOID:784,FDA,Cardiovascular/Nephrology,Cardiovascular,True,True,2023,complete,3,True,True,True,DB09038|d|784,False,False,True,True,True,True
56,Keytruda,pembrolizumab,DB09037,,2014,1L HER2+ gastric/GEJ adenocarcinoma (+trastuzumab+chemo),MONDO:0005036,D013274,DOID:3717,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09037|d|3717,True,False,True,False,True,True
57,Opdivo,nivolumab,DB09035,,2015,Adjuvant melanoma (stage IIB/IIC),MONDO:0005105,D008545,DOID:1909,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09035|d|1909,True,False,True,False,True,True
58,Opdivo,nivolumab,DB09035,,2015,Urothelial carcinoma (1L metastatic),MONDO:0040679,D001749,DOID:4006,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09035|d|4006,True,False,True,False,True,True
59,Olumiant,baricitinib,DB11817,44205240,2017,Atopic dermatitis,MONDO:0011596,C565293,DOID:0110098,EMA,Immunology/Dermatology,Immunology,True,True,2023,complete,2,True,True,True,DB11817|d|110098,False,False,True,True,True,True
60,Brukinsa,zanubrutinib,DB15035,135565884,2019,Follicular lymphoma (+obinutuzumab),MONDO:0018906,D008224,DOID:0050873,EMA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB15035|d|50873,False,False,True,True,True,True
61,Imfinzi,durvalumab,DB11714,,2017,Gastric/GEJ adenocarcinoma (1L +chemo),MONDO:0005036,D013274,DOID:3717,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB11714|d|3717,False,False,True,True,True,True
62,Jemperli,dostarlimab,DB15627,,2021,dMMR/MSI-H primary advanced endometrial cancer,MONDO:0011962,D016889,DOID:1380,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,1,True,False,False,DB15627|d|1380,False,False,True,True,True,True
63,Praluent,alirocumab,DB09302,,2015,Heterozygous familial hypercholesterolemia,MONDO:0005439,D000090542,DOID:13810,EMA,Cardiovascular,Cardiovascular,False,True,2023,missing_PubChem,1,True,True,True,DB09302|d|13810,True,False,True,True,True,True
64,Prevymis,letermovir,DB12070,45138674,2017,CMV prophylaxis in kidney transplant,MONDO:0005132,D003586,DOID:0080827,EMA,Infectious,Infectious,True,True,2023,complete,3,True,True,True,DB12070|d|80827,True,False,True,False,True,True
65,Rubraca,rucaparib,DB12332,9931954,2018,"Ovarian cancer (maintenance, 2L+)",MONDO:0008170,D010051,DOID:2394,EMA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB12332|d|2394,True,False,True,False,True,True
66,Soliris,eculizumab,DB01257,,2007,Pediatric generalized myasthenia gravis,MONDO:0018324,D009157,DOID:437,EMA,Immunology/Neurology,Immunology,True,True,2023,missing_PubChem,3,True,True,True,DB01257|d|437,True,False,True,False,True,True
67,Takhzyro,lanadelumab,DB14597,,2018,HAE prevention in children 2+,MONDO:0019623,D054179,DOID:14735,EMA,Immunology,Immunology,False,True,2023,missing_PubChem,3,True,True,True,DB14597|d|14735,True,False,True,False,True,True
68,Jardiance,empagliflozin,DB09038,11949646,2014,T2D in children 10+ (EMA),MONDO:0005148,D003924,DOID:9352,EMA,Metabolic,Metabolic,False,True,2023,complete,3,True,True,True,DB09038|d|9352,True,False,True,False,True,True
69,Mounjaro,tirzepatide,DB15171,166567236,2022,Obstructive sleep apnea with obesity,MONDO:0007147,D020181,DOID:0050848,EMA,Metabolic/Respiratory,Metabolic,True,True,2023,complete,3,True,True,True,DB15171|d|50848,False,False,True,True,True,True
70,Talzenna,talazoparib,DB11760,135565082,2018,HR+/HER2- metastatic breast cancer,MONDO:0007254,D000072656,DOID:1612,EMA,Oncology,Oncology,True,True,2023,complete,2,True,True,True,DB11760|d|1612,False,False,True,True,True,True
71,Evrysdi,risdiplam,DB15305,118513932,2020,Spinal muscular atrophy (pediatric expansion),MONDO:0001516,D009134,DOID:12377,EMA,CNS,CNS,False,True,2023,complete,1,True,False,False,DB15305|d|12377,False,False,True,True,True,True
72,Bylvay,odevixibat,DB16261,10153627,2021,PFIC cholestatic pruritus,MONDO:0015762,D002780,DOID:0070221,EMA,GI/Metabolic,GI/Metabolic,True,True,2023,complete,0,False,False,False,DB16261|d|70221,False,False,True,False,False,False
73,Ervebo,Ebola Zaire vaccine,,,2020,Ebola Zaire (pediatric 1+),MONDO:0005737,D019142,DOID:4325,EMA,Infectious,Infectious,False,True,2023,missing_DrugBank|missing_PubChem,0,False,False,False,nan|d|4325,False,True,False,False,False,False
74,Adempas,riociguat,DB08931,11304743,2013,Chronic thromboembolic pulmonary hypertension,MONDO:0013024,D065627,DOID:6432,EMA,Cardiovascular,Cardiovascular,True,True,2023,complete,3,True,True,True,DB08931|d|6432,True,False,True,False,True,True
75,Cosentyx,secukinumab,DB09029,,2015,IV formulation for rheumatic diseases (EMA),MONDO:0005554,D012216,DOID:1575,EMA,Immunology,Immunology,False,True,2023,missing_PubChem,3,True,True,True,DB09029|d|1575,False,False,True,True,True,True
76,Orkambi,lumacaftor/ivacaftor,"DB09280,DB08820","16678941,16220172",2015,Cystic fibrosis (pediatric expansion),MONDO:0009061,D003550,DOID:1485,EMA,Respiratory,Respiratory,False,True,2023,complete,0,False,False,False,"DB09280,DB08820|d|1485",False,False,True,False,False,False
77,Revestive,teduglutide,DB08900,16139605,2012,Short bowel syndrome (pediatric),MONDO:0015183,D012778,DOID:10605,EMA,GI,GI,False,True,2023,complete,3,True,True,True,DB08900|d|10605,True,False,True,False,True,True
78,Spikevax,mRNA-1273,DB15654,,2022,COVID-19 updated strain,MONDO:0100320,D000086382,DOID:0080599,EMA,Infectious,Infectious,False,True,2023,missing_PubChem,1,True,False,False,DB15654|d|80599,False,False,True,True,True,True
79,Vemlidy,tenofovir alafenamide,DB09299,9574768,2016,Chronic hepatitis B (pediatric),MONDO:0005344,D006509,DOID:2043,EMA,Infectious,Infectious,False,True,2023,complete,3,True,True,True,DB09299|d|2043,False,False,True,True,True,True
80,Yervoy,ipilimumab,DB06186,,2011,Adjuvant melanoma (+nivolumab),MONDO:0005105,D008545,DOID:1909,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB06186|d|1909,True,False,True,False,True,True
81,HyQvia,immune globulin subcutaneous,DB00028,,2014,Primary immunodeficiency pediatric (EMA),MONDO:0012559,C563663,DOID:0111941,EMA,Immunology,Immunology,False,True,2023,missing_PubChem,3,True,True,True,DB00028|d|111941,False,False,True,True,True,True
82,Metalyse,tenecteplase,DB00031,,2001,Acute ischemic stroke,MONDO:1060198,D000083242,DOID:0051062,EMA,Cardiovascular,Cardiovascular,True,True,2023,missing_PubChem,0,True,True,True,DB00031|d|51062,False,False,True,False,False,True
83,Zinplava,bezlotoxumab,DB13140,,2016,Pediatric C. difficile infection (EMA),MONDO:1014887,D016360,DOID:0060185,EMA,Infectious,Infectious,True,True,2023,missing_PubChem,0,True,True,True,DB13140|d|60185,True,False,True,False,False,True
84,Spexotras,selumetinib,DB11689,10127622,2020,"Pediatric low-grade glioma (+dabrafenib, BRAF V600E)",MONDO:0021637,,DOID:0060101,EMA,Oncology,Oncology,True,True,2023,missing_MeSH,1,True,True,True,DB11689|d|60101,False,False,True,True,True,True
85,Finlee,dabrafenib,DB08912,44462760,2014,Pediatric glioma (EMA),MONDO:0021042,D005910,DOID:3774,EMA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB08912|d|3774,False,False,True,True,True,True
