kg,model,strategy,rerun,rerun_seed,auroc,auprc,mrr,hits@10,hits@100,train_time_s
openbilink,TransE,random,1,1042,0.9742289759166214,0.9460056608966658,0.0098916494987981,0.0139470013947001,0.1394700139470014,314.87300539016724
openbilink,TransE,type-constrained,1,1042,0.974672478889842,0.9476696828397684,0.0098971892556067,0.0139470013947001,0.1394700139470014,314.87300539016724
openbilink,TransE,shared-target,1,1042,0.9340845651239378,0.8669406180377953,0.0097564390102058,0.0139470013947001,0.1394700139470014,314.87300539016724
openbilink,RotatE,random,1,1042,0.9422123406647486,0.8545942936304124,0.0096971632442202,0.0139470013947001,0.1380753138075313,506.1239604949951
openbilink,RotatE,type-constrained,1,1042,0.9447632608361588,0.8642304831283836,0.0097352142749675,0.0139470013947001,0.1380753138075313,506.1239604949951
openbilink,RotatE,shared-target,1,1042,0.8564209699098793,0.62394147101096,0.0089942376418632,0.0139470013947001,0.1297071129707113,506.1239604949951
openbilink,Gemma,random,1,1042,0.6840317532567318,0.2869426785763826,0.0051102011297462,0.00557880055788,0.0613668061366806,0.0
openbilink,Gemma,type-constrained,1,1042,0.6841675274125688,0.2905785667192912,0.0055094305178107,0.00836820083682,0.0599721059972106,0.0
openbilink,Gemma,shared-target,1,1042,0.6293517270355912,0.2342543714030909,0.0029544677910881,0.00278940027894,0.0404463040446304,0.0
openbilink,TransE,random,2,2042,0.9763511765472512,0.9474958383264096,0.0098959979315789,0.0139470013947001,0.1394700139470014,313.4202518463135
openbilink,TransE,type-constrained,2,2042,0.9762710347819152,0.9503237748747092,0.0099017718055542,0.0139470013947001,0.1394700139470014,313.4202518463135
openbilink,TransE,shared-target,2,2042,0.939307201671306,0.867545718018862,0.0097448586105564,0.0139470013947001,0.1380753138075313,313.4202518463135
openbilink,RotatE,random,2,2042,0.9401403258968778,0.852379528083656,0.0097085994977643,0.0139470013947001,0.1394700139470014,505.74937105178833
openbilink,RotatE,type-constrained,2,2042,0.9413669617517588,0.8607689918299333,0.0096497624032429,0.0139470013947001,0.1366806136680613,505.74937105178833
openbilink,RotatE,shared-target,2,2042,0.8567761613261518,0.6340425091659141,0.0088698303042839,0.0125523012552301,0.1352859135285913,505.74937105178833
openbilink,Gemma,random,2,2042,0.6774313397096612,0.2798304915638185,0.0036361304667461,0.00418410041841,0.0599721059972106,0.0
openbilink,Gemma,type-constrained,2,2042,0.6909015754081492,0.2885961992813948,0.0036057233754925,0.00697350069735,0.0571827057182705,0.0
openbilink,Gemma,shared-target,2,2042,0.6380085938427004,0.2340929801342855,0.0025045502621242,0.00418410041841,0.0334728033472803,0.0
biokg,TransE,random,0,42,0.9431282054963408,0.7542327996717476,0.001248363502815,0.0013458950201884,0.0143562135486765,118.84397006034852
biokg,TransE,type-constrained,0,42,0.9445868566551694,0.7560772835582177,0.0012815122568886,0.0014954389113204,0.0140571257664124,118.84397006034852
biokg,TransE,shared-target,0,42,0.8486390130559399,0.493063902390483,0.0011431928718622,0.0014954389113204,0.0139075818752803,118.84397006034852
biokg,RotatE,random,0,42,0.9531954255536764,0.8530877817435074,0.001361218085248,0.0014954389113204,0.0145057574398085,199.82649779319763
biokg,RotatE,type-constrained,0,42,0.95449854167311,0.8572991596585028,0.001355169155798,0.0014954389113204,0.0140571257664124,199.82649779319763
biokg,RotatE,shared-target,0,42,0.901412148756074,0.6656167793815102,0.0012685415596331,0.0014954389113204,0.0137580379841483,199.82649779319763
biokg,Gemma,random,0,42,0.8388795622431887,0.4923938374506336,0.0011147054154799,0.0013458950201884,0.0113653357260355,0.0
biokg,Gemma,type-constrained,0,42,0.8382015427195595,0.4883460801774203,0.0011463831500782,0.0014954389113204,0.0122625990728278,0.0
biokg,Gemma,shared-target,0,42,0.7518259103364171,0.373973809593657,0.0010072683349782,0.0011963511290563,0.0107671601615074,0.0
biokg,TransE,random,1,1042,0.940258496914156,0.7288787693240082,0.0012279485784689,0.0013458950201884,0.0134589502018842,120.07983803749084
biokg,TransE,type-constrained,1,1042,0.9399237775659072,0.7276499605863698,0.001261729118066,0.0014954389113204,0.0134589502018842,120.07983803749084
