kg,model,strategy,heuristic_auroc,emb_auroc,emb_auprc,auroc_ci_lo,auroc_ci_hi,auprc_ci_lo,auprc_ci_hi,mrr,hits@10,hits@100,train_time_s
openbilink,TransE,type-constrained,0.7596132187228282,0.9669971541892551,0.9397978306153127,0.9573325922165227,0.9767239135636048,0.9258193308597313,0.952883426526834,0.009883013790235628,0.01394700139470014,0.1394700139470014,994.8449833393097
openbilink,TransE,shared-target,0.7380546948096535,0.9268710281682744,0.8461918858858551,0.9126379284520774,0.9403574575608503,0.8244132988551487,0.8678344498084367,0.009687251754743489,0.01394700139470014,0.13807531380753138,994.8449833393097
openbilink,RotatE,random,0.7595710081328331,0.9295888455111857,0.8553793062934988,0.9155178869806591,0.9439296016837552,0.8348779391742396,0.8763167263180642,0.009707323985469272,0.01394700139470014,0.13668061366806136,2249.478943347931
openbilink,RotatE,type-constrained,0.7596132187228282,0.929546051364647,0.8593966805404694,0.9152384217518759,0.9417394069898403,0.8397986632283637,0.8788734759323913,0.009741137378100704,0.01394700139470014,0.1394700139470014,2249.478943347931
openbilink,RotatE,shared-target,0.7380546948096535,0.8531452725111799,0.6436329047800129,0.8366193013272021,0.8701781306349679,0.612795767377363,0.6767569216249733,0.008982360154580156,0.012552301255230125,0.1297071129707113,2249.478943347931
biokg,TransE,random,0.8983519690694839,0.955616752932269,0.8269826039137359,0.9530297548734771,0.958233451622171,0.8180306108625786,0.835840781302414,0.0013246586725870536,0.0013458950201884253,0.01420666965754449,408.33722734451294
biokg,TransE,type-constrained,0.8979902101640691,0.9560662858496929,0.8250442248973175,0.9534832946368668,0.9584977560253697,0.8156473926223957,0.8336236548288769,0.0013247988191316571,0.0014954389113204726,0.014057125766412442,408.33722734451294
biokg,TransE,shared-target,0.8574167787798581,0.8748919966377112,0.5740685274840699,0.8702275523202908,0.879394228491392,0.5621596292170341,0.586679743966415,0.0011554247321191153,0.0014954389113204726,0.011963511290563781,408.33722734451294
biokg,RotatE,random,0.8983519690694839,0.9502391528180907,0.8341469347580742,0.9470327680923118,0.953323064686354,0.8258539533877365,0.842652156002279,0.0013448836160246968,0.0014954389113204726,0.014505757439808583,993.6987495422363
biokg,RotatE,type-constrained,0.8979902101640691,0.9512477745925622,0.836848383795931,0.9481002229874522,0.9541008125083905,0.8287238425704984,0.8446282507429507,0.0013363133233132085,0.0014954389113204726,0.01420666965754449,993.6987495422363
biokg,RotatE,shared-target,0.8574167787798581,0.8972818368310433,0.6341261951683014,0.893419287637488,0.9014339049098993,0.6221471367916874,0.6451728512272457,0.0011734875501972556,0.0013458950201884253,0.013458950201884253,993.6987495422363
matrix,TransE,random,0.9959331089245002,0.995819445732185,0.9793011648120503,0.9954207969113723,0.9961940486574608,0.9775628694535259,0.9809700585092932,0.0002877625022878077,0.00026084461486292613,0.002582361687142969,9889.535294532776
matrix,TransE,type-constrained,0.995931923669214,0.9959426469636388,0.9807480743527451,0.9955550561204803,0.9963016852076689,0.9791435027750574,0.9824445872822639,0.0002877608697368681,0.00026084461486292613,0.0025562772256566765,9889.535294532776
matrix,TransE,shared-target,0.9479105171640382,0.8776158140717494,0.5216371066511147,0.8760802185530324,0.8792287064290026,0.5170387140170168,0.5263324450329376,0.0002327037154553361,0.00020867569189034094,0.0023476015337663353,9889.535294532776
matrix,RotatE,random,0.9959331089245002,0.9973190689587846,0.9902744163389948,0.9970597493309991,0.9975727745827221,0.9894985573162411,0.991014772028505,0.00028997813381023517,0.00026084461486292613,0.0026084461486292616,20565.405735254288
matrix,RotatE,type-constrained,0.995931923669214,0.9973272858669304,0.9902191904884579,0.9970508931674578,0.9975796794619146,0.9894437796702642,0.9909902965687962,0.0002899617404435951,0.00026084461486292613,0.0026084461486292616,20565.405735254288
matrix,RotatE,shared-target,0.9479105171640382,0.9121880092296333,0.6773802291772993,0.910579974444195,0.9138501332370167,0.6727316084030723,0.6821016456369016,0.00025601908259436317,0.00026084461486292613,0.0022954326107937502,20565.405735254288
primekg,Gemma,random,0.9462783578932566,0.849822562919563,0.5791378059492975,0.8364655826502942,0.8633197689518566,0.5508234026357327,0.6083776473308374,0.0068810438525599375,0.010649627263045794,0.09158679446219382,144.9264748096466
