model,disease,biokg,drkg,none,primekg
GPT-4.1-mini,Chronic thromboembolic pulmonary hypertension,1.0,1.0,0.36604938271604937,0.8492063492063492
GPT-4.1-mini,Crohn's disease,0.6520061728395061,0.7981481481481482,0.31785714285714284,0.6870370370370371
GPT-4.1-mini,"Crohn's disease (moderate-severe, refractory)",0.6049382716049383,0.7222222222222222,0.24660493827160496,0.7037037037037037
GPT-4.1-mini,Delay T1D onset in children ≥1yr,0.1329365079365079,0.13337742504409167,0.37191358024691357,0.15317460317460316
GPT-4.1-mini,EGPA,0.4166666666666667,0.7777777777777778,0.17716049382716048,0.4722222222222222
GPT-4.1-mini,EGPA (expanded),1.0,1.0,0.25595238095238093,0.7444444444444445
GPT-4.1-mini,"Eosinophilic esophagitis (EMA May 2026, TBD)",1.0,0.7407407407407407,0.30489417989417983,0.845679012345679
GPT-4.1-mini,First-line anemia in lower-risk MDS,0.19221781305114638,0.1521164021164021,0.3031084656084656,0.15396825396825398
GPT-4.1-mini,Follicular lymphoma,0.1432980599647266,0.13492063492063489,0.29537037037037034,0.7195767195767195
GPT-4.1-mini,Follicular lymphoma (+obinutuzumab),0.5667989417989419,0.537037037037037,0.15057319223985888,0.6552028218694885
GPT-4.1-mini,GVHD + pediatric,0.8888888888888888,0.8333333333333334,0.1874779541446208,0.8518518518518517
GPT-4.1-mini,Gastric/GEJ adenocarcinoma,0.48148148148148145,0.3333333333333333,0.3103174603174603,0.4541446208112874
GPT-4.1-mini,Gastric/GEJ adenocarcinoma (1L +chemo),0.6851851851851851,0.4629629629629629,0.3093915343915344,0.6058201058201058
GPT-4.1-mini,Generalized myasthenia gravis,0.537037037037037,0.13095238095238093,0.27173721340388,0.7037037037037037
GPT-4.1-mini,Giant cell arteritis,0.2777777777777778,0.6481481481481481,0.2587301587301587,0.2796296296296296
GPT-4.1-mini,"HCV pediatric extension (EMA May 2026, TBD)",0.5074074074074074,0.48456790123456783,0.2402116402116402,0.4419753086419753
GPT-4.1-mini,HER2-mutant NSCLC (EMA),0.18377425044091708,0.2197089947089947,0.3256172839506173,0.23518518518518514
GPT-4.1-mini,HER2-mutant NSCLC (PMDA),0.3151234567901235,0.2354497354497354,0.1555996472663139,0.19656084656084652
GPT-4.1-mini,Heart failure (broadened),0.3111111111111111,0.17261904761904756,0.4280864197530864,0.1589065255731922
GPT-4.1-mini,Hidradenitis suppurativa,0.7222222222222222,0.5308641975308642,0.4059964726631393,0.6666666666666666
GPT-4.1-mini,IDH1-mutated relapsed/refractory MDS,1.0,0.9444444444444444,0.3361111111111111,1.0
GPT-4.1-mini,ILD-associated pulmonary hypertension,0.30925925925925923,0.8888888888888888,0.37407407407407406,0.9444444444444444
GPT-4.1-mini,IV formulation for rheumatic diseases (EMA),1.0,0.7777777777777778,0.29475308641975306,1.0
GPT-4.1-mini,Invasive fungal infections pediatric ≥2yr,1.0,0.25123456790123455,0.6148148148148148,0.19999999999999998
GPT-4.1-mini,Juvenile idiopathic arthritis (EMA Feb 2026),0.7175925925925926,0.5191358024691358,0.3555555555555555,0.5138888888888888
GPT-4.1-mini,KRAS G12C+ mCRC,1.0,0.9444444444444444,0.23500881834215168,1.0
GPT-4.1-mini,Measles prophylaxis post-exposure,0.537037037037037,0.7037037037037037,0.4907407407407407,0.6064814814814814
GPT-4.1-mini,Metastatic colorectal cancer,0.22724867724867723,0.4722222222222222,0.4854497354497354,0.8055555555555556
GPT-4.1-mini,"Muscle-invasive bladder cancer (EMA May 2026, TBD)",0.337037037037037,0.462962962962963,0.3604497354497354,0.5502645502645502
GPT-4.1-mini,Nephrotic syndrome,0.8148148148148148,0.2611111111111111,0.7027777777777778,0.24259259259259258
GPT-4.1-mini,Obstructive sleep apnea with obesity,0.13492063492063489,0.1382275132275132,0.21141975308641975,0.14484126984126983
GPT-4.1-mini,Oral tablet formulation for weight management,0.8333333333333334,0.9074074074074073,0.3035273368606702,0.8271604938271605
GPT-4.1-mini,PKU expanded to ≥12yr,0.5606261022927689,0.14126984126984124,0.26803350970017636,0.16909171075837742
GPT-4.1-mini,Pancreatic NET,0.7592592592592592,0.7962962962962963,0.38377425044091706,0.7469135802469136
GPT-4.1-mini,Pediatric glioma (EMA),1.0,0.9012345679012346,0.4973544973544974,0.21882716049382714
GPT-4.1-mini,"Ph+ ALL frontline (EMA Mar 2026, TBD)",0.8888888888888888,0.7777777777777778,0.3584656084656085,0.9444444444444444
GPT-4.1-mini,Pheochromocytoma/paraganglioma,1.0,1.0,0.15013227513227512,1.0
GPT-4.1-mini,Platinum-resistant ovarian carcinoma (PD-L1+ CPS≥1),1.0,0.9444444444444444,0.28853615520282183,1.0
GPT-4.1-mini,Polycythaemia vera and essential thrombocytopenia,0.27619047619047615,0.7222222222222222,0.58179012345679,0.7222222222222222
GPT-4.1-mini,Polymyalgia rheumatica,0.808641975308642,0.8888888888888888,0.3111111111111111,1.0
GPT-4.1-mini,Primary humoral immunodeficiency pediatric 2-11yr,0.8888888888888888,0.7777777777777778,0.318342151675485,1.0
GPT-4.1-mini,Primary immunodeficiency pediatric (EMA),0.5185185185185185,0.6481481481481481,0.45723104056437386,0.9444444444444444
GPT-4.1-mini,Primary mediastinal large B-cell lymphoma,0.7777777777777778,0.8333333333333334,0.4177248677248677,0.6666666666666666
GPT-4.1-mini,Psoriasis in children 6-11 (cream),0.6666666666666666,0.6975308641975309,0.5901234567901235,0.6111111111111112
GPT-4.1-mini,RAS wild-type HER2+ metastatic colorectal cancer,1.0,0.9012345679012346,0.29426807760141094,0.9166666666666666
GPT-4.1-mini,Reduce MACE in CVD + obesity/overweight,1.0,1.0,0.1837301587301587,0.9074074074074073
GPT-4.1-mini,Resectable gastric/GEJ adenocarcinoma (neoadj+adj +FLOT),0.6049382716049383,0.4629629629629629,0.24025573192239857,0.6666666666666666
GPT-4.1-mini,Retinopathy of prematurity,1.0,0.8333333333333334,0.34074074074074073,0.9027777777777778
GPT-4.1-mini,Schnitzler syndrome (Japan),1.0,1.0,0.28655202821869485,1.0
GPT-4.1-mini,Ulcerative colitis,0.7314814814814814,0.5912698412698413,0.23031305114638448,0.8752204585537918
GPT-4.1-mini,Unresectable thymic carcinoma (PMDA),0.7361111111111112,0.6111111111111112,0.4825396825396825,0.2287037037037037
GPT-4.1-mini,Urothelial carcinoma (expanded population),0.4981481481481482,0.7222222222222222,0.375,0.5092592592592592
GPT-4.1-mini,"mCRC BRAF V600E (traditional approval, was accelerated)",0.7222222222222222,0.4541446208112874,0.29691358024691356,1.0
GPT-4.1-mini,mHSPC + ADT,0.8555555555555556,1.0,0.14744268077601408,0.3714285714285714
Gemini-3.1-Flash-Lite,1L biliary tract cancer (+gemcitabine+cisplatin),0.7592592592592592,0.9012345679012346,0.3055555555555556,0.8518518518518519
Gemini-3.1-Flash-Lite,Acute HCV pediatric,0.19126984126984123,0.17380952380952377,0.15736331569664902,0.18112874779541444
Gemini-3.1-Flash-Lite,Advanced RCC after PD-1/PD-L1 + VEGF-TKI,0.8888888888888888,0.7160493827160495,0.14347442680776012,0.8703703703703703
Gemini-3.1-Flash-Lite,Agitation associated with Alzheimer's dementia,1.0,0.8580246913580247,0.4382716049382716,0.7097222222222223
Gemini-3.1-Flash-Lite,Allergic fungal rhinosinusitis (AFRS) ≥6yr,1.0,1.0,0.23170194003527333,0.8333333333333334
Gemini-3.1-Flash-Lite,BRAF V600E metastatic NSCLC,1.0,1.0,0.1862433862433862,1.0
Gemini-3.1-Flash-Lite,BRAF+ thyroid cancer,0.7407407407407408,0.8611111111111112,0.2757716049382716,0.9722222222222222
Gemini-3.1-Flash-Lite,Biliary tract cancer,0.6666666666666666,0.7777777777777778,0.3745149911816579,0.7037037037037037
Gemini-3.1-Flash-Lite,Biliary tract cancer 1L,0.787037037037037,0.537037037037037,0.20687830687830683,0.8148148148148148
Gemini-3.1-Flash-Lite,CKD in T2D,0.9012345679012346,1.0,0.2536596119929453,0.9444444444444444
Gemini-3.1-Flash-Lite,COPD,0.47530864197530864,0.5092592592592592,0.2598765432098765,0.4382716049382716
Gemini-3.1-Flash-Lite,COPD (EMA 2025),0.4666666666666667,0.38703703703703707,0.3171075837742504,0.48518518518518516
Gemini-3.1-Flash-Lite,CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),0.14748677248677244,0.23346560846560843,0.1741622574955908,0.1382275132275132
Gemini-3.1-Flash-Lite,Chorea associated with Huntington's disease,0.4177248677248677,1.0,0.28500881834215164,0.3234126984126984
Gemini-3.1-Flash-Lite,Chronic hepatitis B (pediatric),0.42037037037037034,0.14550264550264544,0.41728395061728396,0.2695767195767196
Gemini-3.1-Flash-Lite,Chronic kidney disease,0.21865079365079365,1.0,0.32469135802469135,0.712962962962963
