kg,model,strategy,heuristic_auroc,emb_auroc,emb_auprc,auroc_ci_lo,auroc_ci_hi,auprc_ci_lo,auprc_ci_hi,mrr,hits@10,hits@100,train_time_s
drkg,RotatE,type-constrained,0.9284941034537203,0.9044621855883794,0.7904981701483617,0.8832404284864114,0.9229274641814671,0.755637410128575,0.827552557226756,0.012530420533394825,0.018108651911468814,0.18309859154929578,1382.7810220718384
drkg,RotatE,shared-target,0.8570019715880797,0.8343193972689255,0.5122583424156473,0.8138279172013975,0.8536663036569517,0.4736748853502906,0.5583220596645273,0.01033265934077237,0.01609657947686117,0.1267605633802817,1382.7810220718384
openbilink,TransE,random,0.7595710081328331,0.9665155255218455,0.9377356406568217,0.9563702102165188,0.976244084195538,0.9236503467252061,0.9519464998801266,0.009878467776797696,0.01394700139470014,0.1394700139470014,484.98121309280396
openbilink,TransE,type-constrained,0.7596132187228282,0.9669971541892551,0.9397978306153127,0.9573325922165227,0.9767239135636048,0.9258193308597313,0.952883426526834,0.009883013790235628,0.01394700139470014,0.1394700139470014,484.98121309280396
openbilink,TransE,shared-target,0.7380546948096535,0.9268710281682744,0.8461918858858551,0.9126379284520774,0.9403574575608503,0.8244132988551487,0.8678344498084367,0.009687251754743489,0.01394700139470014,0.13807531380753138,484.98121309280396
openbilink,RotatE,random,0.7595710081328331,0.9296479792409486,0.8554270908264263,0.915604049104338,0.944051370482543,0.8348810306653018,0.8762911291620568,0.00970796959313528,0.01394700139470014,0.13668061366806136,1229.607391834259
openbilink,RotatE,type-constrained,0.7596132187228282,0.9295970153027979,0.859405687515646,0.9152946376989198,0.9417677386600374,0.8397856998758907,0.878836040825239,0.009741155146813634,0.01394700139470014,0.1394700139470014,1229.607391834259
openbilink,RotatE,shared-target,0.7380546948096535,0.8532254142765163,0.6440023406500738,0.8367270744948833,0.8702816146620527,0.6130613055430489,0.6768142669301631,0.008986791226899736,0.012552301255230125,0.12831241283124128,1229.607391834259
biokg,TransE,random,0.8983519690694839,0.955616752932269,0.8269826039137359,0.9530297548734771,0.958233451622171,0.8180306108625786,0.835840781302414,0.0013246586725870536,0.0013458950201884253,0.01420666965754449,206.8093602657318
biokg,TransE,type-constrained,0.8979902101640691,0.9560662858496929,0.8250442248973175,0.9534832946368668,0.9584977560253697,0.8156473926223957,0.8336236548288769,0.0013247988191316571,0.0014954389113204726,0.014057125766412442,206.8093602657318
biokg,TransE,shared-target,0.8574167787798581,0.8754555827695472,0.5742326218638272,0.8708969413141869,0.8798849842659118,0.5629034869167185,0.5871416340288622,0.0011214835079878763,0.0013458950201884253,0.011365335726035592,206.8093602657318
biokg,RotatE,random,0.8983519690694839,0.9502429903733048,0.8341016663118564,0.9470432326424593,0.9533187393300143,0.8258245154116947,0.8426546951907813,0.00134458807907378,0.0014954389113204726,0.014505757439808583,572.1639549732208
biokg,RotatE,type-constrained,0.8979902101640691,0.9512561854580407,0.8369291754485455,0.9481027361835769,0.9541073059939728,0.8288016598440764,0.8447151524447295,0.0013373631788604545,0.0014954389113204726,0.01420666965754449,572.1639549732208
biokg,RotatE,shared-target,0.8574167787798581,0.8974071857863575,0.6338938146746828,0.8935963696772399,0.9016471680396771,0.6223261383266794,0.6462911571857788,0.0011803082707893397,0.0013458950201884253,0.013159862419620158,572.1639549732208
matrix,TransE,random,0.9959331089245002,0.9973134605648275,0.9868166012261369,0.9969823426913519,0.9976144454557013,0.9853465238147378,0.9882294050148138,0.0002887754367743294,0.00026084461486292613,0.002582361687142969,3.151409864425659
matrix,TransE,type-constrained,0.995931923669214,0.9974240342688083,0.9879737879126842,0.9971354291856918,0.9977090311851272,0.9866344162940229,0.9892330872286681,0.0002891748816266388,0.00026084461486292613,0.0026084461486292616,3.151409864425659
matrix,TransE,shared-target,0.9479105171640382,0.8313722231364404,0.4156219232700384,0.8295374968587078,0.8332289864942126,0.4113911563700043,0.419799580852721,0.00021161617804051603,0.00026084461486292613,0.001982419072958239,3.151409864425659
matrix,RotatE,random,0.9959331089245002,0.9986571271252069,0.9949178622344623,0.9984996626332763,0.9988009110036106,0.9944760145887042,0.9953254127186851,0.00029020437816167614,0.00026084461486292613,0.0026084461486292616,2.410510778427124
matrix,RotatE,type-constrained,0.995931923669214,0.9986227979272503,0.9943916322607446,0.9984634360726019,0.9987675613779841,0.99376736906271,0.9949683970255941,0.00028999040201234665,0.00026084461486292613,0.0026084461486292616,2.410510778427124
matrix,RotatE,shared-target,0.9479105171640382,0.9007238249251688,0.6638942304602441,0.8989476031545451,0.9025222465256029,0.6592960096184864,0.6690221033315552,0.000260700074714374,0.00026084461486292613,0.002425854918225213,2.410510778427124
